date close
2008-06-14 1
2008-06-21 1
2008-06-28 1
2008-07-05 1
2008-07-12 0
2008-07-19 2
2008-07-26 1
2008-08-02 2
2008-08-09 2
2008-08-16 1
2008-08-23 2
2008-08-30 2
2008-09-06 2
2008-09-13 2
2008-09-20 2
2008-09-27 2
2008-10-04 2
2008-10-11 2
2008-10-18 2
2008-10-25 3
2008-11-01 5
2008-11-08 4
2008-11-15 6
2008-11-22 6
2008-11-29 7
2008-12-06 7
2008-12-13 8
2008-12-20 8
2008-12-27 9
2009-01-03 10
2009-01-10 10
2009-01-17 12
2009-01-24 14
2009-01-31 12
2009-02-07 11
2009-02-14 12
2009-02-21 14
2009-02-28 13
2009-03-07 14
2009-03-14 17
2009-03-21 19
2009-03-28 18
2009-04-04 31
2009-04-11 23
2009-04-18 18
2009-04-25 19
2009-05-02 22
2009-05-09 17
2009-05-16 19
2009-05-23 22
2009-05-30 28
2009-06-06 26
2009-06-13 23
2009-06-20 24
2009-06-27 23
2009-07-04 21
2009-07-11 22
2009-07-18 19
2009-07-25 20
2009-08-01 18
2009-08-08 27
2009-08-15 44
2009-08-22 34
2009-08-29 23
2009-09-05 23
2009-09-12 24
2009-09-19 95
2009-09-26 36
2009-10-03 35
2009-10-10 40
2009-10-17 29
2009-10-24 29
2009-10-31 35
2009-11-07 36
2009-11-14 45
2009-11-21 56
2009-11-28 90
2009-12-05 69
2009-12-12 66
2009-12-19 55
2009-12-26 60
2010-01-02 67
2010-01-09 56
2010-01-16 53
2010-01-23 50
2010-01-30 48
2010-02-06 88
2010-02-13 44
2010-02-20 47
2010-02-27 39
2010-03-06 47
2010-03-13 63
2010-03-20 88
2010-03-27 62
2010-04-03 53
2010-04-10 45
2010-04-17 41
2010-04-24 38
2010-05-01 38
2010-05-08 49
2010-05-15 50
2010-05-22 42
2010-05-29 44
2010-06-05 48
2010-06-12 61
2010-06-19 41
2010-06-26 51
2010-07-03 41
2010-07-10 47
2010-07-17 38
2010-07-24 33
2010-07-31 32
2010-08-07 37
2010-08-14 37
2010-08-21 31
2010-08-28 27
2010-09-04 28
2010-09-11 33
2010-09-18 96
2010-09-25 44
2010-10-02 33
2010-10-09 31
2010-10-16 28
2010-10-23 27
2010-10-30 30
2010-11-06 21
2010-11-13 20
2010-11-20 17
2010-11-27 19
2010-12-04 19
2010-12-11 18
2010-12-18 20
2010-12-25 23
2011-01-01 23
2011-01-08 22
2011-01-15 16
2011-01-22 16
2011-01-29 17
2011-02-05 16
2011-02-12 37
2011-02-19 100
2011-02-26 35
2011-03-05 43
2011-03-12 27
2011-03-19 26
2011-03-26 25
2011-04-02 26
2011-04-09 22
2011-04-16 32
2011-04-23 45
2011-04-30 32
2011-05-07 36
2011-05-14 56
2011-05-21 47
2011-05-28 86
2011-06-04 43
2011-06-11 41
2011-06-18 30
2011-06-25 33
2011-07-02 24
2011-07-09 21
2011-07-16 21
2011-07-23 26
2011-07-30 27
2011-08-06 32
2011-08-13 21
2011-08-20 27
2011-08-27 23
2011-09-03 79
2011-09-10 30
2011-09-17 24
2011-09-24 23
2011-10-01 22
2011-10-08 21
2011-10-15 21
2011-10-22 22
2011-10-29 20
2011-11-05 18
2011-11-12 17
2011-11-19 19
2011-11-26 32
2011-12-03 28
2011-12-10 23
2011-12-17 17
2011-12-24 18
2011-12-31 22
2012-01-07 26
2012-01-14 15
2012-01-21 13
2012-01-28 11
2012-02-04 11
2012-02-11 14
2012-02-18 20
2012-02-25 11
2012-03-03 12
2012-03-10 11
2012-03-17 12
2012-03-24 13
2012-03-31 13
2012-04-07 13
2012-04-14 10
2012-04-21 9
2012-04-28 10
2012-05-05 9
2012-05-12 8
2012-05-19 9
2012-05-26 11
2012-06-02 10
2012-06-09 7
2012-06-16 11
2012-06-23 8
2012-06-30 8
2012-07-07 8
2012-07-14 8
2012-07-21 10
2012-07-28 10
2012-08-04 9
2012-08-11 10
2012-08-18 10
2012-08-25 10
2012-09-01 9
2012-09-08 10
2012-09-15 11
2012-09-22 21
2012-09-29 27
2012-10-06 15
2012-10-13 13
2012-10-20 9
2012-10-27 9
2012-11-03 10
2012-11-10 10
2012-11-17 10
2012-11-24 12
2012-12-01 8
2012-12-08 8
2012-12-15 8
2012-12-22 8
2012-12-29 9
2013-01-05 9
2013-01-12 9
2013-01-19 11
2013-01-26 10
2013-02-02 9
2013-02-09 9
2013-02-16 13
2013-02-23 8
2013-03-02 6
2013-03-09 6
2013-03-16 6
2013-03-23 6
2013-03-30 7
2013-04-06 6
2013-04-13 5
2013-04-20 5
2013-04-27 5
2013-05-04 5
2013-05-11 5
2013-05-18 5
2013-05-25 5
2013-06-01 6
2013-06-08 5
2013-06-15 6
2013-06-22 6
2013-06-29 6
2013-07-06 7
2013-07-13 7
2013-07-20 6
2013-07-27 11
2013-08-03 9
2013-08-10 19
2013-08-17 23
2013-08-24 23
2013-08-31 61
2013-09-07 20
2013-09-14 18
2013-09-21 13
2013-09-28 12
2013-10-05 10
2013-10-12 11
2013-10-19 11
2013-10-26 15
2013-11-02 21
