date	close
14-Jun-08	1
21-Jun-08	1
28-Jun-08	1
05-Jul-08	1
12-Jul-08	0
19-Jul-08	2
26-Jul-08	1
02-Aug-08	2
09-Aug-08	2
16-Aug-08	1
23-Aug-08	2
30-Aug-08	2
06-Sep-08	2
13-Sep-08	2
20-Sep-08	2
27-Sep-08	2
04-Oct-08	2
11-Oct-08	2
18-Oct-08	2
25-Oct-08	3
01-Nov-08	5
08-Nov-08	4
15-Nov-08	6
22-Nov-08	6
29-Nov-08	7
06-Dec-08	7
13-Dec-08	8
20-Dec-08	8
27-Dec-08	9
03-Jan-09	10
10-Jan-09	10
17-Jan-09	12
24-Jan-09	14
31-Jan-09	12
07-Feb-09	11
14-Feb-09	12
21-Feb-09	14
28-Feb-09	13
07-Mar-09	14
14-Mar-09	17
21-Mar-09	19
28-Mar-09	18
04-Apr-09	31
11-Apr-09	23
18-Apr-09	18
25-Apr-09	19
02-May-09	22
09-May-09	17
16-May-09	19
23-May-09	22
30-May-09	28
06-Jun-09	26
13-Jun-09	23
20-Jun-09	24
27-Jun-09	23
04-Jul-09	21
11-Jul-09	22
18-Jul-09	19
25-Jul-09	20
01-Aug-09	18
08-Aug-09	27
15-Aug-09	44
22-Aug-09	34
29-Aug-09	23
05-Sep-09	23
12-Sep-09	24
19-Sep-09	95
26-Sep-09	36
03-Oct-09	35
10-Oct-09	40
17-Oct-09	29
24-Oct-09	29
31-Oct-09	35
07-Nov-09	36
14-Nov-09	45
21-Nov-09	56
28-Nov-09	90
05-Dec-09	69
12-Dec-09	66
19-Dec-09	55
26-Dec-09	60
02-Jan-10	67
09-Jan-10	56
16-Jan-10	53
23-Jan-10	50
30-Jan-10	48
06-Feb-10	88
13-Feb-10	44
20-Feb-10	47
27-Feb-10	39
06-Mar-10	47
13-Mar-10	63
20-Mar-10	88
27-Mar-10	62
03-Apr-10	53
10-Apr-10	45
17-Apr-10	41
24-Apr-10	38
01-May-10	38
08-May-10	49
15-May-10	50
22-May-10	42
29-May-10	44
05-Jun-10	48
12-Jun-10	61
19-Jun-10	41
26-Jun-10	51
03-Jul-10	41
10-Jul-10	47
17-Jul-10	38
24-Jul-10	33
31-Jul-10	32
07-Aug-10	37
14-Aug-10	37
21-Aug-10	31
28-Aug-10	27
04-Sep-10	28
11-Sep-10	33
18-Sep-10	96
25-Sep-10	44
02-Oct-10	33
09-Oct-10	31
16-Oct-10	28
23-Oct-10	27
30-Oct-10	30
06-Nov-10	21
13-Nov-10	20
20-Nov-10	17
27-Nov-10	19
04-Dec-10	19
11-Dec-10	18
18-Dec-10	20
25-Dec-10	23
01-Jan-11	23
08-Jan-11	22
15-Jan-11	16
22-Jan-11	16
29-Jan-11	17
05-Feb-11	16
12-Feb-11	37
19-Feb-11	100
26-Feb-11	35
05-Mar-11	43
12-Mar-11	27
19-Mar-11	26
26-Mar-11	25
02-Apr-11	26
09-Apr-11	22
16-Apr-11	32
23-Apr-11	45
30-Apr-11	32
07-May-11	36
14-May-11	56
21-May-11	47
28-May-11	86
04-Jun-11	43
11-Jun-11	41
18-Jun-11	30
25-Jun-11	33
02-Jul-11	24
09-Jul-11	21
16-Jul-11	21
23-Jul-11	26
30-Jul-11	27
06-Aug-11	32
13-Aug-11	21
20-Aug-11	27
27-Aug-11	23
03-Sep-11	79
10-Sep-11	30
17-Sep-11	24
24-Sep-11	23
01-Oct-11	22
08-Oct-11	21
15-Oct-11	21
22-Oct-11	22
29-Oct-11	20
05-Nov-11	18
12-Nov-11	17
19-Nov-11	19
26-Nov-11	32
03-Dec-11	28
10-Dec-11	23
17-Dec-11	17
24-Dec-11	18
31-Dec-11	22
07-Jan-12	26
14-Jan-12	15
21-Jan-12	13
28-Jan-12	11
04-Feb-12	11
11-Feb-12	14
18-Feb-12	20
25-Feb-12	11
03-Mar-12	12
10-Mar-12	11
17-Mar-12	12
24-Mar-12	13
31-Mar-12	13
07-Apr-12	13
14-Apr-12	10
21-Apr-12	9
28-Apr-12	10
05-May-12	9
12-May-12	8
19-May-12	9
26-May-12	11
02-Jun-12	10
09-Jun-12	7
16-Jun-12	11
23-Jun-12	8
30-Jun-12	8
07-Jul-12	8
14-Jul-12	8
21-Jul-12	10
28-Jul-12	10
04-Aug-12	9
11-Aug-12	10
18-Aug-12	10
25-Aug-12	10
01-Sep-12	9
08-Sep-12	10
15-Sep-12	11
22-Sep-12	21
29-Sep-12	27
06-Oct-12	15
13-Oct-12	13
20-Oct-12	9
27-Oct-12	9
03-Nov-12	10
10-Nov-12	10
17-Nov-12	10
24-Nov-12	12
01-Dec-12	8
08-Dec-12	8
15-Dec-12	8
22-Dec-12	8
29-Dec-12	9
05-Jan-13	9
12-Jan-13	9
19-Jan-13	11
26-Jan-13	10
02-Feb-13	9
09-Feb-13	9
16-Feb-13	13
23-Feb-13	8
02-Mar-13	6
09-Mar-13	6
16-Mar-13	6
23-Mar-13	6
30-Mar-13	7
06-Apr-13	6
13-Apr-13	5
20-Apr-13	5
27-Apr-13	5
04-May-13	5
11-May-13	5
18-May-13	5
25-May-13	5
01-Jun-13	6
08-Jun-13	5
15-Jun-13	6
22-Jun-13	6
29-Jun-13	6
06-Jul-13	7
13-Jul-13	7
20-Jul-13	6
27-Jul-13	11
03-Aug-13	9
10-Aug-13	19
17-Aug-13	23
24-Aug-13	23
31-Aug-13	61
07-Sep-13	20
14-Sep-13	18
21-Sep-13	13
28-Sep-13	12
05-Oct-13	10
12-Oct-13	11
19-Oct-13	11
26-Oct-13	15
02-Nov-13	21



